sra_run	biosample	bioproject	instrument_model	library_layout	oa_id
SRR1945686	SAMN03326530	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6151
SRR1945687	SAMN03326531	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6153
SRR1945688	SAMN03326532	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6154
SRR1945689	SAMN03326533	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6163
SRR1945690	SAMN03326534	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6166
SRR1945691	SAMN03326535	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6169
SRR1945692	SAMN03326536	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6172
SRR1945693	SAMN03326537	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6173
SRR1945694	SAMN03326538	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6174
SRR1945695	SAMN03326539	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6177
SRR1945696	SAMN03326540	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6180
SRR1945697	SAMN03326541	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6184
SRR1945698	SAMN03326542	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6188
SRR1945699	SAMN03326543	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6189
SRR1945700	SAMN03326544	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6191
SRR1945701	SAMN03326545	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6192
SRR1945702	SAMN03326546	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6193
SRR1945703	SAMN03326547	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6194
SRR1945704	SAMN03326548	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6195
SRR1945705	SAMN03326549	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6198
SRR1945706	SAMN03326550	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6201
SRR1945707	SAMN03326551	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6202
SRR1945708	SAMN03326552	PRJNA273563	Illumina HiSeq 2000	PAIRED	OAKG6203
SRR1945709	SAMN03326553	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6209
SRR1945710	SAMN03326554	PRJNA273563	Illumina Genome Analyzer IIx	PAIRED	OAKG6210
