oa_id	dataset	ecotype_id	sample_name	biosample	species	latitude	longitude	elevation	locality	country	country_code	collector	collection_date	collection_notes	cs_number	ploidy	internal_data	pooled_plants
OAKG2166	KG	2166	Paw-20	SAMN03326374	Arabidopsis thaliana	42.148	-86.431		Paw	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78991			
OAKG2171	KG	2171	Paw-26	SAMN03326375	Arabidopsis thaliana	42.148	-86.431		Paw	USA	USA	Diane Byers	2002-05-01 0:00:00		CS77164			
OAKG2191	KG	2191	Pent-7	SAMN03326376	Arabidopsis thaliana	43.7623	-86.3929		Pent	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78992			
OAKG2202	KG	2202	Pent-23	SAMN03326377	Arabidopsis thaliana	43.7623	-86.3929		Pent	USA	USA	Diane Byers	2004-06-04 0:00:00		CS77168			
OAKG2212	KG	2212	Pent-46	SAMN03326378	Arabidopsis thaliana	43.7623	-86.3929		Pent	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78993			
OAKG2239	KG	2239	Riv-25	SAMN03326379	Arabidopsis thaliana	42.184	-86.382		Riv	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78994			
OAKG2240	KG	2240	Riv-26	SAMN03326380	Arabidopsis thaliana	42.184	-86.382		Riv	USA	USA	Diane Byers	2002-05-01 0:00:00		CS78995			
OAKG2276	KG	2276	SLSP-31	SAMN03326381	Arabidopsis thaliana	43.665	-86.496		SLSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS77254			
OAKG2278	KG	2278	SLSP-35	SAMN03326382	Arabidopsis thaliana	43.665	-86.496		SLSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS77255			
OAKG2285	KG	2285	SLSP-69	SAMN03326383	Arabidopsis thaliana	43.665	-86.496		SLSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78996			
OAKG2286	KG	2286	SLSP-67	SAMN03326384	Arabidopsis thaliana	43.665	-86.496		SLSP	USA	USA	Diane Byers	2004-06-04 0:00:00		CS78997			
OAKG2317	KG	2317	Ste-40	SAMN03326385	Arabidopsis thaliana	42.03	-86.514		Ste	USA	USA	Diane Byers	2002-05-01 0:00:00		CS77278			
