library	run	sample	include	is_sra
SRR1945823	PRJNA273563	OAKG7064	Y	Y
SRR1945824	PRJNA273563	OAKG7067	Y	Y
SRR1945825	PRJNA273563	OAKG7068	Y	Y
SRR1945826	PRJNA273563	OAKG7071	Y	Y
SRR1945827	PRJNA273563	OAKG7072	Y	Y
SRR1945828	PRJNA273563	OAKG7077	Y	Y
SRR1945829	PRJNA273563	OAKG7081	Y	Y
SRR1945830	PRJNA273563	OAKG7092	Y	Y
SRR1945831	PRJNA273563	OAKG7094	Y	Y
SRR1945832	PRJNA273563	OAKG7096	Y	Y
SRR1945833	PRJNA273563	OAKG7102	Y	Y
SRR1945834	PRJNA273563	OAKG7103	Y	Y
SRR1945835	PRJNA273563	OAKG7106	Y	Y
SRR1945836	PRJNA273563	OAKG7107	Y	Y
SRR1945837	PRJNA273563	OAKG7109	Y	Y
SRR1945838	PRJNA273563	OAKG7111	Y	Y
SRR1945839	PRJNA273563	OAKG7117	Y	Y
SRR1945840	PRJNA273563	OAKG7119	Y	Y
SRR1945841	PRJNA273563	OAKG7120	Y	Y
SRR1945842	PRJNA273563	OAKG7125	Y	Y
SRR1945843	PRJNA273563	OAKG7126	Y	Y
SRR1945844	PRJNA273563	OAKG7127	Y	Y
SRR1945845	PRJNA273563	OAKG7130	Y	Y
SRR1945846	PRJNA273563	OAKG7133	Y	Y
SRR1945847	PRJNA273563	OAKG7138	Y	Y
SRR1945848	PRJNA273563	OAKG7143	Y	Y
SRR1945849	PRJNA273563	OAKG7147	Y	Y
SRR1945850	PRJNA273563	OAKG7158	Y	Y
SRR1945851	PRJNA273563	OAKG7160	Y	Y
SRR1945852	PRJNA273563	OAKG7161	Y	Y
SRR1945853	PRJNA273563	OAKG7162	Y	Y
SRR1945854	PRJNA273563	OAKG7163	Y	Y
SRR1945855	PRJNA273563	OAKG7164	Y	Y
SRR1945856	PRJNA273563	OAKG7165	Y	Y
SRR1945857	PRJNA273563	OAKG7169	Y	Y
SRR1945858	PRJNA273563	OAKG7177	Y	Y
SRR1945859	PRJNA273563	OAKG7181	Y	Y
SRR1945860	PRJNA273563	OAKG7183	Y	Y
SRR1945861	PRJNA273563	OAKG7186	Y	Y
SRR1945862	PRJNA273563	OAKG7192	Y	Y
SRR1945863	PRJNA273563	OAKG7199	Y	Y
SRR1945864	PRJNA273563	OAKG7202	Y	Y
SRR1945865	PRJNA273563	OAKG7203	Y	Y
SRR1945866	PRJNA273563	OAKG7207	Y	Y
SRR1945867	PRJNA273563	OAKG7208	Y	Y
SRR1945868	PRJNA273563	OAKG7209	Y	Y
SRR1945869	PRJNA273563	OAKG7213	Y	Y
SRR1945870	PRJNA273563	OAKG7217	Y	Y
SRR1945871	PRJNA273563	OAKG7218	Y	Y
SRR1945872	PRJNA273563	OAKG7223	Y	Y
SRR1945873	PRJNA273563	OAKG7231	Y	Y
SRR1945874	PRJNA273563	OAKG7236	Y	Y
SRR1945875	PRJNA273563	OAKG7244	Y	Y
SRR1945876	PRJNA273563	OAKG7248	Y	Y
SRR1945877	PRJNA273563	OAKG7250	Y	Y
SRR1945878	PRJNA273563	OAKG7255	Y	Y
SRR1945879	PRJNA273563	OAKG7258	Y	Y
SRR1945880	PRJNA273563	OAKG7268	Y	Y
SRR1945881	PRJNA273563	OAKG7273	Y	Y
SRR1945882	PRJNA273563	OAKG7276	Y	Y
SRR1945883	PRJNA273563	OAKG7280	Y	Y
SRR1945884	PRJNA273563	OAKG7282	Y	Y
SRR1945885	PRJNA273563	OAKG7287	Y	Y
SRR1945886	PRJNA273563	OAKG7288	Y	Y
SRR1945887	PRJNA273563	OAKG7296	Y	Y
SRR1945888	PRJNA273563	OAKG7298	Y	Y
SRR1945889	PRJNA273563	OAKG7305	Y	Y
SRR1945890	PRJNA273563	OAKG7306	Y	Y
SRR1945891	PRJNA273563	OAKG7307	Y	Y
SRR1945892	PRJNA273563	OAKG7314	Y	Y
SRR1945893	PRJNA273563	OAKG7316	Y	Y
SRR1945894	PRJNA273563	OAKG7319	Y	Y
SRR1945895	PRJNA273563	OAKG7320	Y	Y
SRR1945896	PRJNA273563	OAKG7322	Y	Y
SRR1945897	PRJNA273563	OAKG7323	Y	Y
SRR1945898	PRJNA273563	OAKG7327	Y	Y
SRR1945899	PRJNA273563	OAKG7328	Y	Y
SRR1945900	PRJNA273563	OAKG7332	Y	Y
SRR1945901	PRJNA273563	OAKG7333	Y	Y
SRR1945902	PRJNA273563	OAKG7337	Y	Y
SRR1945903	PRJNA273563	OAKG7342	Y	Y
SRR1945904	PRJNA273563	OAKG7343	Y	Y
SRR1945905	PRJNA273563	OAKG7344	Y	Y
SRR1945906	PRJNA273563	OAKG7346	Y	Y
SRR1945907	PRJNA273563	OAKG7347	Y	Y
SRR1945908	PRJNA273563	OAKG7349	Y	Y
SRR1945909	PRJNA273563	OAKG7350	Y	Y
SRR1945910	PRJNA273563	OAKG7353	Y	Y
SRR1945911	PRJNA273563	OAKG7354	Y	Y
SRR1945912	PRJNA273563	OAKG7356	Y	Y
SRR1945913	PRJNA273563	OAKG7358	Y	Y
SRR1945914	PRJNA273563	OAKG7359	Y	Y
SRR1945915	PRJNA273563	OAKG7372	Y	Y
SRR1945916	PRJNA273563	OAKG7373	Y	Y
SRR1945917	PRJNA273563	OAKG7377	Y	Y
SRR1945918	PRJNA273563	OAKG7378	Y	Y
SRR1945919	PRJNA273563	OAKG7382	Y	Y
SRR1945920	PRJNA273563	OAKG7383	Y	Y
SRR1945921	PRJNA273563	OAKG7384	Y	Y
SRR1945922	PRJNA273563	OAKG7387	Y	Y
SRR1945923	PRJNA273563	OAKG7394	Y	Y
SRR1945924	PRJNA273563	OAKG7396	Y	Y
SRR1945925	PRJNA273563	OAKG7404	Y	Y
SRR1945926	PRJNA273563	OAKG7411	Y	Y
SRR1945927	PRJNA273563	OAKG7413	Y	Y
SRR1945928	PRJNA273563	OAKG7415	Y	Y
SRR1945929	PRJNA273563	OAKG7416	Y	Y
SRR1945930	PRJNA273563	OAKG7417	Y	Y
SRR1945931	PRJNA273563	OAKG7418	Y	Y
